	PLAYER_ID	PLAYER_NAME	TEAM_ID	TEAM_ABBREVIATION	AGE	GP	W	L	W_PCT	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	TOV	STL	BLK	BLKA	PF	PFD	PTS	PLUS_MINUS	NBA_FANTASY_PTS	DD2	TD3	GP_RANK	W_RANK	L_RANK	W_PCT_RANK	MIN_RANK	FGM_RANK	FGA_RANK	FG_PCT_RANK	FG3M_RANK	FG3A_RANK	FG3_PCT_RANK	FTM_RANK	FTA_RANK	FT_PCT_RANK	OREB_RANK	DREB_RANK	REB_RANK	AST_RANK	TOV_RANK	STL_RANK	BLK_RANK	BLKA_RANK	PF_RANK	PFD_RANK	PTS_RANK	PLUS_MINUS_RANK	NBA_FANTASY_PTS_RANK	DD2_RANK	TD3_RANK	CFID	CFPARAMS
0	203932	Aaron Gordon	1610612753	ORL	24.0	58	28	30	0.483	33.0	5.4	12.5	0.433	1.2	3.9	0.301	2.4	3.5	0.675	1.8	5.8	7.6	3.7	1.6	0.9	0.6	0.7	2.0	3.2	14.4	-1.7	31.9	19	1	117	140	119	242	41	86	78	273	168	128	320	86	68	352	55	34	32	74	107	128	96	83	194	62	95	359	65	28	16	5	203932,1610612753
1	1628988	Aaron Holiday	1610612754	IND	23.0	58	36	22	0.621	23.6	3.5	8.6	0.407	1.4	3.5	0.394	1.1	1.2	0.861	0.4	1.9	2.3	3.3	1.3	0.8	0.2	0.4	1.8	1.7	9.4	1.5	18.8	2	0	117	74	214	149	194	188	157	357	133	156	85	224	260	74	364	314	336	87	165	166	304	190	251	177	189	140	214	136	28	5	1628988,1610612754
2	1627846	Abdel Nader	1610612760	OKC	26.0	48	33	15	0.688	15.8	2.1	4.6	0.455	0.8	2.2	0.371	1.0	1.3	0.774	0.3	1.6	1.9	0.7	0.8	0.4	0.4	0.2	1.4	1.0	6.0	-1.2	11.1	0	0	243	98	318	75	321	312	317	201	242	266	148	238	251	228	405	370	385	377	313	322	175	362	343	315	298	330	345	226	28	5	1627846,1610612760
3	1629690	Adam Mokoka	1610612741	CHI	21.0	11	3	8	0.273	10.2	1.1	2.5	0.429	0.5	1.4	0.4	0.2	0.4	0.5	0.6	0.3	0.9	0.4	0.2	0.4	0.0	0.4	1.5	0.4	2.9	4.5	5.5	0	0	436	447	406	457	412	417	420	285	303	339	64	459	447	445	245	494	462	448	479	358	461	213	301	445	418	35	438	226	28	5	1629690,1610612741
4	1629678	Admiral Schofield	1610612764	WAS	23.0	27	9	18	0.333	10.8	1.1	2.8	0.4	0.5	1.7	0.298	0.3	0.5	0.692	0.2	1.0	1.3	0.5	0.3	0.3	0.1	0.1	1.5	0.6	3.1	-1.3	6.3	0	0	362	378	276	391	402	416	411	378	307	297	327	415	428	340	424	422	433	417	454	392	394	389	307	409	414	334	429	226	28	5	1629678,1610612764
5	201143	Al Horford	1610612755	PHI	33.0	60	35	25	0.583	30.8	4.8	10.9	0.442	1.5	4.4	0.337	0.9	1.2	0.753	1.5	5.3	6.9	4.1	1.1	0.9	0.9	0.3	2.1	1.3	12.0	2.0	30.6	6	0	92	85	168	189	76	107	109	240	115	107	251	259	268	260	74	45	47	64	201	124	54	271	169	235	129	111	69	78	28	5	201143,1610612755
6	202329	Al-Farouq Aminu	1610612753	ORL	29.0	18	7	11	0.389	21.1	1.4	4.8	0.291	0.5	2.0	0.25	1.1	1.6	0.655	1.3	3.5	4.8	1.2	0.9	1.0	0.4	0.2	1.5	1.6	4.3	-1.9	15.3	1	0	402	405	362	342	229	389	304	470	309	275	370	227	201	377	95	152	126	294	244	84	157	330	311	186	366	377	273	180	28	5	202329,1610612753
7	202692	Alec Burks	1610612755	PHI	28.0	59	17	42	0.288	27.3	4.8	11.9	0.404	1.7	4.6	0.366	3.8	4.3	0.896	0.7	3.7	4.4	2.9	1.4	1.0	0.3	0.6	2.0	3.3	15.1	-4.6	27.2	1	0	106	280	16	444	141	110	90	369	99	98	163	34	48	41	214	134	150	110	133	97	248	99	189	58	84	481	96	180	28	5	202692,1610612755
8	1629346	Alen Smailagic	1610612744	GSW	19.0	14	1	13	0.071	9.9	1.4	2.9	0.5	0.2	0.9	0.231	1.1	1.4	0.842	0.7	1.2	1.9	0.9	0.8	0.2	0.3	0.1	1.0	1.4	4.2	-0.6	8.6	0	0	419	483	335	502	416	385	408	102	375	375	389	212	237	103	218	411	374	340	297	425	249	392	396	233	371	275	393	226	28	5	1629346,1610612744
9	1627936	Alex Caruso	1610612747	LAL	26.0	58	45	13	0.776	17.8	1.9	4.5	0.423	0.7	1.8	0.355	1.0	1.3	0.763	0.2	1.7	1.9	1.8	0.8	1.0	0.3	0.4	1.5	1.5	5.4	3.9	13.6	0	0	117	14	335	40	282	332	325	306	273	288	202	238	249	249	418	358	373	188	294	78	240	193	321	198	321	51	297	226	28	5	1627936,1610612747
